Absolute Magnitude,Orbit Uncertainity,Minimum Orbit Intersection,Neo Reference ID,Name,Orbit ID,Est Dia in KM(min),Est Dia in KM(max),Orbit Determination Date,Hazardous
18.4,0,0.0233526,2138971,2138971,167,0.16,0.16,658,1
18.3,0,0.0105122,2457768,2457768,31,0.17,0.17,741,1
19.4,0,0.0107072,2462550,2462550,44,0.1,0.1,710,1
18.7,0,0.0355664,2235756,2235756,55,0.14,0.14,620,1
18.3,1,0.013395,2003362,2003362,23,0.17,0.17,679,1
19.8,0,0.00250782,2279744,2279744,39,0.08,0.08,611,1
18.4,0,0.026241,2163818,2163818,84,0.16,0.16,639,1
16.5,1,0.00283189,2163243,2163243,117,0.38,0.38,641,1
21.2,0,0.0443814,3160737,3160737,18,0.04,0.04,474,1
21.6,1,0.0427555,3449591,3449591,19,0.04,0.04,363,1
20.8,6,0.0223565,3279740,3279740,16,0.05,0.05,447,1
19.5,5,0.012568,3761549,3761549,8,0.09,0.09,32,1
21.3,4,0.0140066,3646046,3646046,13,0.04,0.04,207,1
20.9,0,0.0337336,3394543,3394543,34,0.05,0.05,824,1
20.7,0,0.042475,2494710,2494710,47,0.05,0.05,807,1
18.8,0,0.0328837,2162882,2162882,81,0.13,0.13,685,1
20.8,2,0.0497576,3409964,3409964,32,0.05,0.05,383,1
19.4,1,0.020437,2489486,2489486,45,0.1,0.1,706,1
22.0,3,0.0315366,3720440,3720440,13,0.03,0.03,699,1
18.6,0,0.00118835,2085236,2085236,78,0.14,0.14,666,1
19.9,0,0.00296999,2429584,2429584,50,0.08,0.08,552,1
20.0,1,0.0141525,3275512,3275512,26,0.08,0.08,451,1
20.224,4,0.0171437,3771619,3771619,43,0.07,0.07,832,1
20.3,0,0.0361452,2382745,2382745,50,0.07,0.07,579,1
19.5,0,0.0487335,2451003,2451003,42,0.09,0.09,822,1
21.9,2,0.0360908,3626029,3626029,13,0.03,0.03,232,1
18.4,1,0.022942,2436774,2436774,40,0.16,0.16,548,1
21.0,0,0.038564,2451157,2451157,56,0.05,0.05,540,1
16.5,0,0.0137915,2066391,2066391,212,0.38,0.38,785,1
19.9,2,0.0298515,3600242,3600242,19,0.08,0.08,264,1
20.7,0,0.00371747,3305002,3305002,32,0.05,0.05,434,1
21.5,2,0.0266238,3755345,3755345,21,0.04,0.04,761,1
19.8,0,0.00864628,2267221,2267221,80,0.08,0.08,773,1
17.7,0,0.0336461,2022753,2022753,192,0.22,0.22,674,1
20.5,0,0.00179697,2438908,2438908,68,0.06,0.06,545,1
20.5,0,0.00471821,2382406,2382406,28,0.06,0.06,579,1
19.8,1,0.0438023,2202683,2202683,29,0.08,0.08,631,1
20.0,2,0.0331774,3455137,3455137,28,0.08,0.08,359,1
21.3,0,0.00234208,3638380,3638380,17,0.04,0.04,216,1
19.3,0,0.00924442,2357439,2357439,94,0.1,0.1,719,1
20.3,2,0.0052176,3690051,3690051,37,0.07,0.07,158,1
20.6,0,0.01201,2162120,2162120,49,0.06,0.06,783,1
21.6,1,0.034798,3514799,3514799,25,0.04,0.04,329,1
21.9,2,0.0360908,3626029,3626029,13,0.03,0.03,232,1
17.7,0,0.0336461,2022753,2022753,192,0.22,0.22,674,1
21.7,0,0.0322578,3508112,3508112,41,0.03,0.03,333,1
18.2,0,0.0186866,2466130,2466130,37,0.17,0.17,531,1
19.7,0,0.0400648,3463175,3463175,23,0.09,0.09,742,1
21.9,0,0.00047866,2308635,2308635,126,0.03,0.03,801,1
20.0,5,0.0447622,3590266,3590266,19,0.08,0.08,275,1
19.6,0,0.0142281,3397922,3397922,45,0.09,0.09,16,1
18.7,0,0.0445011,2206378,2206378,172,0.14,0.14,630,1
20.4,1,0.0311462,2490581,2490581,56,0.06,0.06,708,1
21.2,2,0.0189953,3092474,3092474,9,0.04,0.04,494,1
21.6,2,0.0409175,3672899,3672899,24,0.04,0.04,5,1
21.5,2,0.0266238,3755345,3755345,21,0.04,0.04,761,1
20.0,0,0.00475006,2386454,2386454,28,0.08,0.08,577,1
21.8,0,0.0436135,2411165,2411165,18,0.03,0.03,568,1
20.3,2,0.00596999,2458116,2458116,31,0.07,0.07,534,1
20.9,0,0.0482532,2417419,2417419,51,0.05,0.05,560,1
20.4,0,0.00192041,2387668,2387668,38,0.06,0.06,575,1
21.5,1,0.0409294,2468910,2468910,28,0.04,0.04,717,1
19.3,0,0.000639127,2442037,2442037,82,0.1,0.1,543,1
20.3,1,0.0196539,3124996,3124996,18,0.07,0.07,691,1
20.6,2,0.044003,3734189,3734189,49,0.06,0.06,86,1
20.1,1,0.0460757,3732675,3732675,67,0.07,0.07,794,1
20.5,0,0.0298516,2419624,2419624,75,0.06,0.06,557,1
20.3,5,0.0143447,3586027,3586027,12,0.07,0.07,277,1
21.9,1,0.0234636,3352549,3352549,85,0.03,0.03,417,1
20.2,0,0.00661698,2179806,2179806,62,0.07,0.07,635,1
20.2,0,0.0393898,3644702,3644702,43,0.07,0.07,753,1
18.6,0,0.0303685,2349507,2349507,73,0.14,0.14,594,1
21.0,0,0.0136634,3022969,3022969,62,0.05,0.05,12,1
18.4,2,0.0190746,3427794,3427794,92,0.16,0.16,377,1
19.1,0,0.0423433,2230111,2230111,113,0.11,0.11,622,1
21.2,0,0.0155214,3350632,3350632,34,0.04,0.04,11,1
19.8,0,0.0474637,2250680,2250680,31,0.08,0.08,774,1
21.6,7,0.0402208,3604618,3604618,9,0.04,0.04,259,1
19.3,0,0.0164621,2277570,2277570,47,0.1,0.1,612,1
20.1,0,0.0100337,3401432,3401432,19,0.07,0.07,395,1
21.6,3,0.022444,3711785,3711785,45,0.04,0.04,123,1
21.3,1,0.00409967,2490354,2490354,32,0.04,0.04,707,1
21.9,0,0.0286286,3601341,3601341,24,0.03,0.03,709,1
19.1,0,0.0423433,2230111,2230111,113,0.11,0.11,622,1
21.3,1,0.0133879,3256319,3256319,16,0.04,0.04,789,1
19.3,1,0.0093516,3744785,3744785,30,0.1,0.1,67,1
17.1,0,0.0480717,2085989,2085989,289,0.29,0.29,665,1
21.1,2,0.0104914,3515377,3515377,49,0.05,0.05,327,1
20.8,2,0.0497576,3409964,3409964,32,0.05,0.05,383,1
18.1,0,0.0345132,2363505,2363505,236,0.18,0.18,591,1
21.3,7,0.00779389,3448993,3448993,12,0.04,0.04,365,1
20.9,0,0.0337336,3394543,3394543,34,0.05,0.05,824,1
20.9,1,0.012061,3170203,3170203,45,0.05,0.05,470,1
20.2,0,0.00687373,2002340,2002340,60,0.07,0.07,1,1
20.4,1,0.0379013,3714553,3714553,28,0.06,0.06,116,1
21.2,0,0.0192598,3597095,3597095,38,0.04,0.04,793,1
16.5,0,0.0436453,2308242,2308242,75,0.38,0.38,606,1
20.7,0,0.0357698,2418849,2418849,39,0.05,0.05,751,1
20.3,4,0.0340857,3740808,3740808,22,0.07,0.07,77,1
18.8,0,0.0181583,2374158,2374158,54,0.13,0.13,584,1
19.3,0,0.0287566,2477519,2477519,51,0.1,0.1,820,1
18.5,1,0.0116339,3640745,3640745,33,0.15,0.15,739,1
17.2,0,0.0389748,2153311,2153311,64,0.28,0.28,652,1
19.4,0,0.00539934,2152680,2152680,28,0.1,0.1,655,1
20.9,0,0.0337336,3394543,3394543,34,0.05,0.05,824,1
20.2,0,0.0288979,2089136,2089136,156,0.07,0.07,662,1
21.4,6,0.021474,3736502,3736502,17,0.04,0.04,83,1
20.0,1,0.035022,2359170,2359170,24,0.08,0.08,592,1
21.7,0,0.0432045,3485260,3485260,25,0.03,0.03,335,1
19.4,0,0.00539934,2152680,2152680,28,0.1,0.1,655,1
19.9,3,0.011885,3743605,3743605,21,0.08,0.08,71,1
20.9,0,0.0157001,2474163,2474163,70,0.05,0.05,525,1
17.6,0,0.0100036,2088254,2088254,121,0.23,0.23,786,1
21.1,8,0.0453591,3589298,3589298,5,0.05,0.05,276,1
18.3,0,0.0317549,2153958,2153958,106,0.17,0.17,651,1
17.5,0,0.0260357,2162510,2162510,111,0.24,0.24,644,1
22.1,0,0.00767126,3025766,3025766,24,0.03,0.03,509,1
21.3,1,0.00410468,3455100,3455100,31,0.04,0.04,360,1
21.0,0,0.038564,2451157,2451157,56,0.05,0.05,540,1
20.2,0,0.0130652,2333578,2333578,83,0.07,0.07,599,1
18.4,0,0.028314,2175706,2175706,143,0.16,0.16,637,1
21.4,1,0.0169751,3388081,3388081,22,0.04,0.04,407,1
20.1,0,0.0153549,3608936,3608936,26,0.07,0.07,249,1
19.7,0,0.000659446,2099942,2099942,193,0.09,0.09,0,1
21.7,1,0.0181098,3025767,3025767,32,0.03,0.03,700,1
21.7,1,0.0181806,2488490,2488490,34,0.03,0.03,711,1
20.6,1,0.0439084,3558387,3558387,26,0.06,0.06,297,1
22.0,0,0.0325955,3253151,3253151,20,0.03,0.03,827,1
18.7,0,0.018997,2438105,2438105,64,0.14,0.14,546,1
18.6,1,0.0300973,2414286,2414286,55,0.14,0.14,566,1
19.0,0,0.0140013,3252349,3252349,62,0.12,0.12,456,1
21.959,7,0.00468478,3781344,3781344,5,0.03,0.03,819,1
